"CODE_MUNI";"STATE";"REGION";"region"
3116001;"MG";31;"nao metropolitana"
2922755;"BA";29;"nao metropolitana"
2509057;"PB";25;"nao metropolitana"
4110656;"PR";41;"nao metropolitana"
3138500;"MG";31;"nao metropolitana"
2511103;"PB";25;"nao metropolitana"
1703206;"TO";17;"nao metropolitana"
4321634;"RS";43;"nao metropolitana"
2413409;"RN";24;"nao metropolitana"
2208502;"PI";22;"nao metropolitana"
2109403;"MA";21;"nao metropolitana"
4117206;"PR";41;"nao metropolitana"
2101772;"MA";21;"nao metropolitana"
2202083;"PI";22;"nao metropolitana"
3130051;"MG";31;"nao metropolitana"
2500106;"PB";25;"nao metropolitana"
3540101;"SP";35;"nao metropolitana"
4309159;"RS";43;"nao metropolitana"
2603306;"PE";26;"nao metropolitana"
5106208;"MT";51;"nao metropolitana"
3135605;"MG";31;"nao metropolitana"
3144656;"MG";31;"nao metropolitana"
2206100;"PI";22;"nao metropolitana"
3138708;"MG";31;"nao metropolitana"
3145356;"MG";31;"nao metropolitana"
2202406;"PI";22;"nao metropolitana"
2907004;"BA";29;"nao metropolitana"
1200328;"AC";12;"nao metropolitana"
2925709;"BA";29;"nao metropolitana"
4123956;"PR";41;"nao metropolitana"
3108255;"MG";31;"nao metropolitana"
3540259;"SP";35;"nao metropolitana"
2407401;"RN";24;"nao metropolitana"
2930766;"BA";29;"nao metropolitana"
4113759;"PR";41;"nao metropolitana"
2603926;"PE";26;"nao metropolitana"
3114600;"MG";31;"nao metropolitana"
5201454;"GO";52;"nao metropolitana"
4306130;"RS";43;"nao metropolitana"
2401701;"RN";24;"nao metropolitana"
2305654;"CE";23;"nao metropolitana"
2411056;"RN";24;"nao metropolitana"
4316733;"RS";43;"nao metropolitana"
2206720;"PI";22;"nao metropolitana"
3536802;"SP";35;"nao metropolitana"
1701101;"TO";17;"nao metropolitana"
3122900;"MG";31;"nao metropolitana"
4318432;"RS";43;"nao metropolitana"
2303931;"CE";23;"nao metropolitana"
3138906;"MG";31;"nao metropolitana"
2100154;"MA";21;"nao metropolitana"
4117214;"PR";41;"nao metropolitana"
5215256;"GO";52;"nao metropolitana"
2300101;"CE";23;"nao metropolitana"
1716653;"TO";17;"nao metropolitana"
4314498;"RS";43;"nao metropolitana"
2516805;"PB";25;"nao metropolitana"
4309258;"RS";43;"nao metropolitana"
5101001;"MT";51;"nao metropolitana"
2208106;"PI";22;"nao metropolitana"
2919058;"BA";29;"nao metropolitana"
3163805;"MG";31;"nao metropolitana"
3138674;"MG";31;"nao metropolitana"
3517307;"SP";35;"nao metropolitana"
4305116;"RS";43;"nao metropolitana"
2933406;"BA";29;"nao metropolitana"
2506707;"PB";25;"nao metropolitana"
3129608;"MG";31;"nao metropolitana"
2610103;"PE";26;"nao metropolitana"
5107198;"MT";51;"nao metropolitana"
2308807;"CE";23;"nao metropolitana"
4103156;"PR";41;"nao metropolitana"
3520707;"SP";35;"nao metropolitana"
2500775;"PB";25;"nao metropolitana"
3148756;"MG";31;"nao metropolitana"
2516409;"PB";25;"nao metropolitana"
2907400;"BA";29;"nao metropolitana"
1502608;"PA";15;"nao metropolitana"
3107703;"MG";31;"nao metropolitana"
4317954;"RS";43;"nao metropolitana"
3165552;"MG";31;"nao metropolitana"
3123809;"MG";31;"nao metropolitana"
2928505;"BA";29;"nao metropolitana"
2202505;"PI";22;"nao metropolitana"
3127305;"MG";31;"nao metropolitana"
2601508;"PE";26;"nao metropolitana"
