"CODE_MUNI";"COD_UF";"ACR_UF";"HIERARCHY"
3135100;31;"MG";"metropolitana"
4311304;43;"RS";"metropolitana"
4318903;43;"RS";"nao metropolitana"
3514403;35;"SP";"nao metropolitana"
1200203;12;"AC";"nao metropolitana"
2706703;27;"AL";"metropolitana"
2402006;24;"RN";"nao metropolitana"
2516201;25;"PB";"nao metropolitana"
2313401;23;"CE";"nao metropolitana"
3143104;31;"MG";"nao metropolitana"
3539509;35;"SP";"nao metropolitana"
1303403;13;"AM";"nao metropolitana"
2103307;21;"MA";"nao metropolitana"
2916401;29;"BA";"nao metropolitana"
4124103;41;"PR";"nao metropolitana"
2309607;23;"CE";"nao metropolitana"
1100189;11;"RO";"nao metropolitana"
3510203;35;"SP";"metropolitana"
4308508;43;"RS";"nao metropolitana"
1502202;15;"PA";"nao metropolitana"
5210000;52;"GO";"nao metropolitana"
2506301;25;"PB";"metropolitana"
2311306;23;"CE";"nao metropolitana"
3203908;32;"ES";"nao metropolitana"
2909802;29;"BA";"nao metropolitana"
5105150;51;"MT";"nao metropolitana"
4205506;42;"SC";"nao metropolitana"
3111200;31;"MG";"nao metropolitana"
2708600;27;"AL";"nao metropolitana"
4321808;43;"RS";"nao metropolitana"
2307601;23;"CE";"nao metropolitana"
3523206;35;"SP";"nao metropolitana"
2311801;23;"CE";"nao metropolitana"
5100201;51;"MT";"nao metropolitana"
4108809;41;"PR";"nao metropolitana"
2601102;26;"PE";"metropolitana"
2915601;29;"BA";"nao metropolitana"
2903904;29;"BA";"nao metropolitana"
2930501;29;"BA";"nao metropolitana"
2610004;26;"PE";"nao metropolitana"
5003306;50;"MS";"nao metropolitana"
4119608;41;"PR";"nao metropolitana"
4217709;42;"SC";"metropolitana"
4320107;43;"RS";"nao metropolitana"
2914703;29;"BA";"nao metropolitana"
2108603;21;"MA";"nao metropolitana"
2709301;27;"AL";"nao metropolitana"
2612208;26;"PE";"nao metropolitana"
2400208;24;"RN";"nao metropolitana"
3145604;31;"MG";"nao metropolitana"
4309407;43;"RS";"nao metropolitana"
1721208;17;"TO";"metropolitana"
4306809;43;"RS";"nao metropolitana"
5005004;50;"MS";"metropolitana"
4320800;43;"RS";"nao metropolitana"
5221601;52;"GO";"nao metropolitana"
4305207;43;"RS";"metropolitana"
1100106;11;"RO";"nao metropolitana"
2908408;29;"BA";"nao metropolitana"
2706307;27;"AL";"nao metropolitana"
2605202;26;"PE";"nao metropolitana"
3121605;31;"MG";"nao metropolitana"
1100155;11;"RO";"nao metropolitana"
4111506;41;"PR";"nao metropolitana"
2614501;26;"PE";"nao metropolitana"
4113304;41;"PR";"nao metropolitana"
4321907;43;"RS";"nao metropolitana"
5205406;52;"GO";"metropolitana"
2608909;26;"PE";"nao metropolitana"
1200104;12;"AC";"metropolitana"
2108207;21;"MA";"metropolitana"
2304103;23;"CE";"nao metropolitana"
4104501;41;"PR";"nao metropolitana"
2103208;21;"MA";"nao metropolitana"
2208403;22;"PI";"nao metropolitana"
5211800;52;"GO";"nao metropolitana"
2403103;24;"RN";"nao metropolitana"
3135209;31;"MG";"nao metropolitana"
2615300;26;"PE";"nao metropolitana"
2910701;29;"BA";"nao metropolitana"
2302602;23;"CE";"nao metropolitana"
3128006;31;"MG";"nao metropolitana"
4109708;41;"PR";"nao metropolitana"
3115508;31;"MG";"metropolitana"
2306306;23;"CE";"nao metropolitana"
2202208;22;"PI";"nao metropolitana"
2708006;27;"AL";"nao metropolitana"
2109106;21;"MA";"nao metropolitana"
2804508;28;"SE";"nao metropolitana"
2201903;22;"PI";"nao metropolitana"
2926608;29;"BA";"nao metropolitana"
3101706;31;"MG";"nao metropolitana"
2805703;28;"SE";"metropolitana"
2702405;27;"AL";"nao metropolitana"
2409407;24;"RN";"nao metropolitana"
2913903;29;"BA";"nao metropolitana"
1304062;13;"AM";"nao metropolitana"
2210607;22;"PI";"nao metropolitana"
2600104;26;"PE";"nao metropolitana"
2207009;22;"PI";"nao metropolitana"
3103405;31;"MG";"nao metropolitana"
2302107;23;"CE";"nao metropolitana"
4216206;42;"SC";"nao metropolitana"
3507001;35;"SP";"metropolitana"
5102637;51;"MT";"nao metropolitana"
5107875;51;"MT";"nao metropolitana"
2312403;23;"CE";"nao metropolitana"
5102678;51;"MT";"nao metropolitana"
5007208;50;"MS";"nao metropolitana"
3306107;33;"RJ";"metropolitana"
2922003;29;"BA";"nao metropolitana"
4203600;42;"SC";"nao metropolitana"
4117909;41;"PR";"nao metropolitana"
3530508;35;"SP";"nao metropolitana"
3531308;35;"SP";"nao metropolitana"
4113205;41;"PR";"nao metropolitana"
4313904;43;"RS";"nao metropolitana"
4213203;42;"SC";"nao metropolitana"
3536703;35;"SP";"nao metropolitana"
3505906;35;"SP";"nao metropolitana"
3540606;35;"SP";"nao metropolitana"
5218508;52;"GO";"nao metropolitana"
1600279;16;"AP";"metropolitana"
5007695;50;"MS";"nao metropolitana"
5209101;52;"GO";"nao metropolitana"
2305233;23;"CE";"nao metropolitana"
3137205;31;"MG";"metropolitana"
4218004;42;"SC";"nao metropolitana"
4112009;41;"PR";"nao metropolitana"
4321451;43;"RS";"metropolitana"
4308201;43;"RS";"nao metropolitana"
3136306;31;"MG";"nao metropolitana"
3515186;35;"SP";"nao metropolitana"
3169406;31;"MG";"nao metropolitana"
3535507;35;"SP";"metropolitana"
3546603;35;"SP";"metropolitana"
3524105;35;"SP";"nao metropolitana"
3533502;35;"SP";"nao metropolitana"
3525706;35;"SP";"nao metropolitana"
3509700;35;"SP";"nao metropolitana"
4125605;41;"PR";"nao metropolitana"
3537602;35;"SP";"nao metropolitana"
5101704;51;"MT";"nao metropolitana"
3522703;35;"SP";"nao metropolitana"
3537800;35;"SP";"nao metropolitana"
4306601;43;"RS";"nao metropolitana"
4102000;41;"PR";"nao metropolitana"
4310603;43;"RS";"nao metropolitana"
3550100;35;"SP";"nao metropolitana"
3104205;31;"MG";"nao metropolitana"
3516705;35;"SP";"nao metropolitana"
4313300;43;"RS";"nao metropolitana"
4117602;41;"PR";"nao metropolitana"
4304507;43;"RS";"nao metropolitana"
1501709;15;"PA";"nao metropolitana"
4120606;41;"PR";"nao metropolitana"
5100300;51;"MT";"metropolitana"
3541307;35;"SP";"nao metropolitana"
4318804;43;"RS";"nao metropolitana"
3110608;31;"MG";"metropolitana"
2606408;26;"PE";"nao metropolitana"
4202800;42;"SC";"nao metropolitana"
3138401;31;"MG";"nao metropolitana"
3534609;35;"SP";"nao metropolitana"
4310009;43;"RS";"nao metropolitana"
4210506;42;"SC";"nao metropolitana"
2405801;24;"RN";"nao metropolitana"
5104807;51;"MT";"metropolitana"
4212908;42;"SC";"nao metropolitana"
3139003;31;"MG";"nao metropolitana"
5217401;52;"GO";"metropolitana"
5000609;50;"MS";"nao metropolitana"
3107109;31;"MG";"nao metropolitana"
2311405;23;"CE";"nao metropolitana"
2508901;25;"PB";"metropolitana"
5103205;51;"MT";"nao metropolitana"
4317301;43;"RS";"nao metropolitana"
4316402;43;"RS";"nao metropolitana"
3102605;31;"MG";"nao metropolitana"
5218003;52;"GO";"nao metropolitana"
3300605;33;"RJ";"metropolitana"
3200904;32;"ES";"nao metropolitana"
4219705;42;"SC";"nao metropolitana"
4211702;42;"SC";"nao metropolitana"
2104057;21;"MA";"metropolitana"
4216909;42;"SC";"nao metropolitana"
4320909;43;"RS";"nao metropolitana"
5220108;52;"GO";"nao metropolitana"
5105101;51;"MT";"nao metropolitana"
3541505;35;"SP";"metropolitana"
4112108;41;"PR";"metropolitana"
4208500;42;"SC";"nao metropolitana"
4302808;43;"RS";"nao metropolitana"
2928604;29;"BA";"nao metropolitana"
4308904;43;"RS";"metropolitana"
3107307;31;"MG";"nao metropolitana"
2906006;29;"BA";"nao metropolitana"
3162104;31;"MG";"nao metropolitana"
5103353;51;"MT";"nao metropolitana"
2914000;29;"BA";"nao metropolitana"
4102406;41;"PR";"nao metropolitana"
2302503;23;"CE";"nao metropolitana"
4116901;41;"PR";"nao metropolitana"
4205001;42;"SC";"metropolitana"
3144300;31;"MG";"nao metropolitana"
2610905;26;"PE";"nao metropolitana"
2905206;29;"BA";"nao metropolitana"
1705508;17;"TO";"nao metropolitana"
3146008;31;"MG";"nao metropolitana"
5105622;51;"MT";"nao metropolitana"
3538808;35;"SP";"nao metropolitana"
2101608;21;"MA";"nao metropolitana"
5210208;52;"GO";"nao metropolitana"
4121406;41;"PR";"nao metropolitana"
2928109;29;"BA";"metropolitana"
3202306;32;"ES";"nao metropolitana"
1709302;17;"TO";"nao metropolitana"
3157005;31;"MG";"nao metropolitana"
3112307;31;"MG";"nao metropolitana"
1502707;15;"PA";"nao metropolitana"
2305407;23;"CE";"nao metropolitana"
3113305;31;"MG";"nao metropolitana"
2807402;28;"SE";"nao metropolitana"
4113502;41;"PR";"nao metropolitana"
5218300;52;"GO";"nao metropolitana"
2411205;24;"RN";"nao metropolitana"
2101707;21;"MA";"nao metropolitana"
2929909;29;"BA";"nao metropolitana"
3100203;31;"MG";"nao metropolitana"
5005681;50;"MS";"nao metropolitana"
2312304;23;"CE";"nao metropolitana"
5208905;52;"GO";"nao metropolitana"
2601409;26;"PE";"nao metropolitana"
3168002;31;"MG";"nao metropolitana"
2513901;25;"PB";"nao metropolitana"
4206900;42;"SC";"nao metropolitana"
2512101;25;"PB";"nao metropolitana"
2105708;21;"MA";"nao metropolitana"
2906873;29;"BA";"nao metropolitana"
4320701;43;"RS";"nao metropolitana"
2203701;22;"PI";"nao metropolitana"
1707009;17;"TO";"nao metropolitana"
2202901;22;"PI";"nao metropolitana"
2111102;21;"MA";"nao metropolitana"
2907806;29;"BA";"nao metropolitana"
2507002;25;"PB";"nao metropolitana"
2103802;21;"MA";"nao metropolitana"
2211308;22;"PI";"nao metropolitana"
2200202;22;"PI";"nao metropolitana"
3500709;35;"SP";"nao metropolitana"
2702306;27;"AL";"nao metropolitana"
5002951;50;"MS";"nao metropolitana"
3505203;35;"SP";"nao metropolitana"
2110302;21;"MA";"nao metropolitana"
4120903;41;"PR";"nao metropolitana"
4309605;43;"RS";"nao metropolitana"
3172004;31;"MG";"nao metropolitana"
5102702;51;"MT";"nao metropolitana"
4312658;43;"RS";"nao metropolitana"
5213087;52;"GO";"nao metropolitana"
5214606;52;"GO";"nao metropolitana"
4128005;41;"PR";"nao metropolitana"
2611002;26;"PE";"nao metropolitana"
4216503;42;"SC";"nao metropolitana"
3526407;35;"SP";"nao metropolitana"
3151503;31;"MG";"nao metropolitana"
2927002;29;"BA";"nao metropolitana"
3537404;35;"SP";"nao metropolitana"
2211209;22;"PI";"metropolitana"
4108601;41;"PR";"nao metropolitana"
4208401;42;"SC";"metropolitana"
4115606;41;"PR";"nao metropolitana"
5001904;50;"MS";"nao metropolitana"
1716505;17;"TO";"metropolitana"
1508084;15;"PA";"nao metropolitana"
1501808;15;"PA";"nao metropolitana"
4304200;43;"RS";"nao metropolitana"
5104104;51;"MT";"nao metropolitana"
1507458;15;"PA";"metropolitana"
4307500;43;"RS";"nao metropolitana"
3302106;33;"RJ";"metropolitana"
3200805;32;"ES";"nao metropolitana"
4105904;41;"PR";"metropolitana"
1304203;13;"AM";"nao metropolitana"
2302800;23;"CE";"nao metropolitana"
3553807;35;"SP";"nao metropolitana"
5220603;52;"GO";"nao metropolitana"
5107859;51;"MT";"nao metropolitana"
3502705;35;"SP";"nao metropolitana"
4320404;43;"RS";"nao metropolitana"
4105409;41;"PR";"nao metropolitana"
3170800;31;"MG";"nao metropolitana"
3105103;31;"MG";"nao metropolitana"
3520442;35;"SP";"nao metropolitana"
4316451;43;"RS";"nao metropolitana"
2917607;29;"BA";"nao metropolitana"
4212106;42;"SC";"nao metropolitana"
5106257;51;"MT";"nao metropolitana"
4101002;41;"PR";"nao metropolitana"
4217808;42;"SC";"nao metropolitana"
5002902;50;"MS";"nao metropolitana"
4317806;43;"RS";"nao metropolitana"
3508108;35;"SP";"nao metropolitana"
2313302;23;"CE";"nao metropolitana"
1100130;11;"RO";"nao metropolitana"
4214003;42;"SC";"nao metropolitana"
4316600;43;"RS";"nao metropolitana"
4218806;42;"SC";"nao metropolitana"
4212205;42;"SC";"nao metropolitana"
2516003;25;"PB";"metropolitana"
4128500;41;"PR";"nao metropolitana"
5002100;50;"MS";"nao metropolitana"
1502301;15;"PA";"nao metropolitana"
3161106;31;"MG";"nao metropolitana"
4317905;43;"RS";"nao metropolitana"
3200102;32;"ES";"nao metropolitana"
4126603;41;"PR";"nao metropolitana"
5108600;51;"MT";"nao metropolitana"
2509701;25;"PB";"nao metropolitana"
4103909;41;"PR";"nao metropolitana"
2110500;21;"MA";"nao metropolitana"
2919504;29;"BA";"nao metropolitana"
3203007;32;"ES";"nao metropolitana"
3138807;31;"MG";"nao metropolitana"
5212204;52;"GO";"nao metropolitana"
3124203;31;"MG";"nao metropolitana"
3133501;31;"MG";"nao metropolitana"
4300109;43;"RS";"nao metropolitana"
4117107;41;"PR";"metropolitana"
3147303;31;"MG";"nao metropolitana"
5101258;51;"MT";"nao metropolitana"
4107603;41;"PR";"nao metropolitana"
2402204;24;"RN";"nao metropolitana"
2608800;26;"PE";"nao metropolitana"
1100056;11;"RO";"nao metropolitana"
2103604;21;"MA";"nao metropolitana"
2312205;23;"CE";"nao metropolitana"
2605707;26;"PE";"nao metropolitana"
4304903;43;"RS";"nao metropolitana"
5206404;52;"GO";"nao metropolitana"
4216008;42;"SC";"metropolitana"
2112506;21;"MA";"nao metropolitana"
1301407;13;"AM";"nao metropolitana"
5211206;52;"GO";"nao metropolitana"
4216701;42;"SC";"nao metropolitana"
2114007;21;"MA";"nao metropolitana"
1702208;17;"TO";"nao metropolitana"
2103406;21;"MA";"nao metropolitana"
2300309;23;"CE";"nao metropolitana"
2504306;25;"PB";"nao metropolitana"
2907301;29;"BA";"nao metropolitana"
3132503;31;"MG";"nao metropolitana"
4321402;43;"RS";"nao metropolitana"
2305001;23;"CE";"nao metropolitana"
4109302;41;"PR";"nao metropolitana"
2933604;29;"BA";"nao metropolitana"
3112604;31;"MG";"nao metropolitana"
