COD_UF;UF;COD_CIDADE;NOME_CIDADE;pop2018;area;hierarquia
31;MG;3120839;Cuparaque;4960;226,750;Centro Local
22;PI;2201770;Boa Hora;6744;336,954;Centro Local
52;GO;5204953;Campos Verdes;2459;441,645;Centro Local
31;MG;3147956;Patis;5942;444,196;Centro Local
23;CE;2309904;Pacujá;6246;76,128;Centro Local
25;PB;2515708;Serra Grande;3089;83,474;Centro Local
31;MG;3136405;Joaquim Felício;4662;790,935;Centro Local
35;SP;3514205;Dolcinópolis;2119;77,939;Centro Local
21;MA;2103125;Central do Maranhão;8604;319,053;Centro Local
35;SP;3554755;Trabiju;1709;63,421;Centro Local
22;PI;2200905;Aroazes;5844;821,212;Centro Local
43;RS;4304614;Canudos do Vale;1729;82,292;Centro Local
31;MG;3122603;Dom Joaquim;4482;398,822;Centro Local
31;MG;3137304;Lagoa dos Patos;4124;600,547;Centro Local
31;MG;3162252;São João da Lagoa;4896;998,015;Centro Local
25;PB;2510204;Nova Olinda;5978;84,253;Centro Local
22;PI;2201739;Betânia do Piauí;6200;580,917;Centro Local
22;PI;2209906;São João da Serra;6157;997,035;Centro Local
42;SC;4202578;Bom Jesus do Oeste;2146;67,777;Centro Local
21;MA;2111250;São José dos Basílios;7642;353,232;Centro Local
31;MG;3123304;Dores do Turvo;4289;231,169;Centro Local
52;GO;5219506;Santa Rosa de Goiás;2388;164,097;Centro Local
23;CE;2312809;Senador Sá;7553;423,919;Centro Local
22;PI;2208874;Ribeira do Piauí;4464;1012,479;Centro Local
41;PR;4123600;Santa Inês;1624;138,481;Centro Local
22;PI;2200053;Acauã;7065;1279,586;Centro Local
31;MG;3160009;Santo Antônio do Aventureiro;3602;202,032;Centro Local
31;MG;3171402;Vieiras;3629;112,691;Centro Local
22;PI;2210052;São José do Divino;5338;319,082;Centro Local
26;PE;2603405;Calumbi;5753;179,314;Centro Local
22;PI;2206670;Morro do Chapéu do Piauí;6781;328,289;Centro Local
25;PB;2515930;Sertãozinho;4958;32,798;Centro Local
17;TO;1715101;Novo Acordo;4287;2674,682;Centro Local
17;TO;1711100;Itaporã do Tocantins;2435;972,977;Centro Local
17;TO;1720309;São Sebastião do Tocantins;4757;287,273;Centro Local
22;PI;2210300;São Julião;6353;291,115;Centro Local
23;CE;2301802;Baixio;6272;146,433;Centro Local
25;PB;2514701;São José do Sabugi;4134;206,917;Centro Local
31;MG;3136801;Juramento;4316;431,630;Centro Local
22;PI;2202653;Caxingó;5395;491,063;Centro Local
43;RS;4315131;Pouso Novo;1668;105,571;Centro Local
17;TO;1718501;Recursolândia;4244;2216,663;Centro Local
22;PI;2207777;Patos do Piauí;6377;803,300;Centro Local
31;MG;3121902;Divinésia;3411;116,970;Centro Local
31;MG;3149507;Pequeri;3310;90,833;Centro Local
21;MA;2101731;Belágua;7409;569,428;Centro Local
22;PI;2209302;Santa Luz;5836;1186,844;Centro Local
17;TO;1702703;Aurora do Tocantins;3731;752,830;Centro Local
25;PB;2513927;São Bentinho;4492;196,823;Centro Local
31;MG;3157658;Santa Helena de Minas;6345;276,433;Centro Local
17;TO;1713957;Muricilândia;3514;1186,670;Centro Local
52;GO;5213053;Mimoso de Goiás;2612;1386,915;Centro Local
25;PB;2514008;São João do Cariri;4313;653,094;Centro Local
31;MG;3117405;Conceição de Ipanema;4570;253,935;Centro Local
22;PI;2209005;Rio Grande do Piauí;6431;635,951;Centro Local
24;RN;2413102;Senador Elói de Souza;6044;152,376;Centro Local
31;MG;3146552;Pai Pedro;6084;839,805;Centro Local
24;RN;2402808;Coronel Ezequiel;5508;185,748;Centro Local
22;PI;2201919;Bom Princípio do Piauí;5608;523,142;Centro Local
