CODE_MUNI;YEAR;POPULACAO;CASESy;INCy
1200435;2022;7672;0;0
1200450;2014;20992;0;0
1200450;2015;21182;0;0
1200450;2016;21369;1;4,679676166
1200450;2017;21552;1;4,639940609
1200450;2018;22810;0;0
1200450;2019;23024;1;4,343293954
1200450;2020;23236;0;0
1200450;2021;23446;0;0
1200450;2022;21658;0;0
1200500;2014;41036;0;0
1200500;2015;41750;0;0
1200500;2016;42451;3;7,066971332
1200500;2017;43139;0;0
1200500;2018;45177;0;0
1200500;2019;45848;0;0
1200500;2020;46511;0;0
1200500;2021;47168;0;0
1200500;2022;39746;0;0
1200609;2014;38201;0;0
1200609;2015;38819;0;0
1200609;2016;39427;0;0
1200609;2017;40024;0;0
1200609;2018;41976;122;290,6422718
1200609;2019;42567;26;61,08017948
1200609;2020;43151;2;4,634886793
1200609;2021;43730;66;150,9261377
1200609;2022;43072;0;0
1200708;2014;17317;0;0
1200708;2015;17608;13;73,83007724
1200708;2016;17894;27;150,888566
1200708;2017;18174;3;16,50709805
1200708;2018;19048;2;10,49979
1200708;2019;19323;0;0
1200708;2020;19596;0;0
1200708;2021;19866;6;30,20235578
1200708;2022;18181;0;0
1200807;2014;16396;0;0
1200807;2015;16757;0;0
1200807;2016;17111;0;0
1200807;2017;17459;0;0
1200807;2018;18180;1;5,500550055
1200807;2019;18504;0;0
1200807;2020;18824;0;0
1200807;2021;19141;0;0
1200807;2022;16218;0;0
1300029;2014;15357;0;0
1300029;2015;15545;0;0
1300029;2016;15729;0;0
1300029;2017;15908;1;6,286145336
1300029;2018;15860;0;0
1300029;2019;16041;0;0
1300029;2020;16220;0;0
1300029;2021;16396;0;0
1300029;2022;15916;37;232,47047
1300060;2014;10644;0;0
1300060;2015;10847;0;0
1300060;2016;11047;0;0
1300060;2017;11242;0;0
1300060;2018;11332;0;0
1300060;2019;11536;0;0
1300060;2020;11736;0;0
1300060;2021;11934;0;0
1300060;2022;10814;0;0
1300086;2014;11981;0;0
1300086;2015;12320;0;0
1300086;2016;12653;0;0
1300086;2017;12978;0;0
1300086;2018;13269;0;0
1300086;2019;13614;0;0
1300086;2020;13956;0;0
1300086;2021;14292;0;0
1300086;2022;9927;0;0
1300102;2014;18826;0;0
1300102;2015;19292;0;0
1300102;2016;19749;0;0
1300102;2017;20196;0;0
1300102;2018;20538;0;0
1300102;2019;21010;0;0
1300102;2020;21477;0;0
1300102;2021;21937;0;0
1300102;2022;17052;0;0
1300144;2014;20258;0;0
1300144;2015;20648;1;4,843084076
1300144;2016;21031;1;4,754885645
1300144;2017;21406;0;0
1300144;2018;21583;0;0
1300144;2019;21973;0;0
1300144;2020;22359;0;0
1300144;2021;22739;0;0
1300144;2022;21403;0;0
1300201;2014;17658;0;0
1300201;2015;18133;0;0
1300201;2016;18599;0;0
1300201;2017;19054;0;0
1300201;2018;19438;0;0
1300201;2019;19921;0;0
1300201;2020;20398;0;0
1300201;2021;20868;1;4,792026069
1300201;2022;15440;4;25,90673575
1300300;2014;36301;0;0
1300300;2015;37033;0;0
1300300;2016;37752;0;0
1300300;2017;38454;0;0
1300300;2018;38830;0;0
1300300;2019;39565;0;0
1300300;2020;40290;0;0
1300300;2021;41005;0;0
1300300;2022;41672;0;0
1300409;2014;27273;0;0
1300409;2015;27433;0;0
1300409;2016;27589;3;10,87389902
1300409;2017;27743;0;0
1300409;2018;27364;2;7,308872972
1300409;2019;27502;0;0
1300409;2020;27638;2;7,236413633
1300409;2021;27772;0;0
1300409;2022;18399;0;0
1300508;2014;30202;0;0
1300508;2015;30658;0;0
1300508;2016;31105;0;0
1300508;2017;31542;0;0
1300508;2018;31593;0;0
1300508;2019;32041;0;0
1300508;2020;32483;0;0
1300508;2021;32919;0;0
1300508;2022;30990;0;0
1300607;2014;38533;0;0
1300607;2015;39484;0;0
1300607;2016;40417;0;0
1300607;2017;41329;0;0
1300607;2018;42020;1;2,379819134
1300607;2019;42984;0;0
1300607;2020;43935;2;4,552179356
1300607;2021;44873;0;0
1300607;2022;37436;1;2,671225558
